This data is a reformatted version of this data
https://www-nds.iaea.org/amdc/ame2016/mass16.txt
obtained from https://www-nds.iaea.org/amdc/
excluding theoretical values.
KEY:
N - Number of neutrons
Z - Number of protons
A - Atomic mass number
EL - Element label
DEL_M (keV) - Mass excess in keV
BE/A (keV) - Binding energy per nucleon in keV
Mass (mu-u) - Atomic mass in millionths of a standard atomic mass unit (Dalton)
------------------------------------------------
N,Z,A,EL,DEL_M (keV),BE/A (keV),Mass (mu-u)
95,61,156,Pm,-64163.644,8176.705,155931117.5
94,62,156,Sm,-69360.43,8205.003,155925538.5
93,63,156,Eu,-70082.548,8204.617,155924763.3
92,64,156,Gd,-72534.914,8215.322,155922130.6
91,65,156,Tb,-70090.797,8194.639,155924754.4
90,66,156,Dy,-70528.964,8192.433,155924284
89,67,156,Ho,-65478.964,8155.046,155929705.4
88,68,156,Er,-64211.709,8141.908,155931065.9
87,69,156,Tm,-56834.55,8089.603,155938985.6
86,70,156,Yb,-53265.721,8061.711,155942816.9
85,71,156,Lu,-43699.544,7995.374,155953086.6
84,72,156,Hf,-37816.896,7952.65,155959401.9
97,60,157,Nd,-56461.543,8131.959,156939386
96,61,157,Pm,-62297.043,8164.145,156933121.4
95,62,157,Sm,-66677.577,8187.063,156928418.7
94,63,157,Eu,-69458.908,8199.795,156925432.8
93,64,157,Gd,-70823.473,8203.504,156923967.9
92,65,157,Tb,-70763.43,8198.138,156924032.3
91,66,157,Dy,-69424.558,8184.627,156925469.7
90,67,157,Ho,-66832.832,8163.136,156928252
89,68,157,Er,-63413.639,8136.375,156931922.7
88,69,157,Tm,-58709.273,8101.428,156936973
87,70,157,Yb,-53421.898,8062.767,156942649.2
86,71,157,Lu,-46440.523,8013.317,156950144
84,73,157,Ta,-29593.33,7896.043,156968230.3
97,61,158,Pm,-59089.209,8143.254,157936565.1
96,62,158,Sm,-65250.243,8177.297,157929951
95,63,158,Eu,-67255.188,8185.035,157927798.6
94,64,158,Gd,-70689.546,8201.819,157924111.6
93,65,158,Tb,-69470.668,8189.153,157925420.2
92,66,158,Dy,-70407.349,8190.13,157924414.6
91,67,158,Ho,-66187.593,8158.471,157928944.7
90,68,158,Er,-65303.808,8147.926,157929893.5
89,69,158,Tm,-58703.194,8101.199,157936979.5
88,70,158,Yb,-56010.237,8079.203,157939870.5
87,71,158,Lu,-47212.19,8018.568,157949315.6
86,72,158,Hf,-42102.39,7981.276,157954801.2
98,61,159,Pm,-56554.28,8126.859,158939286.5
97,62,159,Sm,-62207.775,8157.495,158933217.2
96,63,159,Eu,-66043.285,8176.697,158929099.6
95,64,159,Gd,-68561.436,8187.614,158926396.3
94,65,159,Tb,-69532.363,8188.8,158925353.9
93,66,159,Dy,-69167.134,8181.583,158925746
92,67,159,Ho,-67329.534,8165.105,158927718.8
91,68,159,Er,-64561.034,8142.773,158930690.9
90,69,159,Tm,-60570.398,8112.754,158934975
89,70,159,Yb,-55838.606,8078.074,158940054.8
88,71,159,Lu,-49708.604,8034.6,158946635.6
87,72,159,Hf,-42852.6,7986.56,158953995.8
86,73,159,Ta,-34439.148,7928.725,158963028.1
98,62,160,Sm,-60234.793,8144.625,159935335.3
97,63,160,Eu,-63480.463,8160.021,159931850.9
96,64,160,Gd,-67941.741,8183.014,159927061.5
95,65,160,Tb,-67836.257,8177.465,159927174.8
94,66,160,Dy,-69672.73,8184.054,159925203.2
93,67,160,Ho,-66382.73,8158.602,159928735.2
92,68,160,Er,-66064.228,8151.721,159929077.1
91,69,160,Tm,-60302.028,8110.818,159935263.1
90,70,160,Yb,-58162.706,8092.557,159937559.8
89,71,160,Lu,-50269.937,8038.338,159946033
88,72,160,Hf,-45938.943,8006.38,159950682.5
87,73,160,Ta,-35823.695,7938.27,159961541.7
86,74,160,W,-29326.455,7892.772,159968516.8
99,62,161,Sm,-56671.962,8122.041,160939160.1
98,63,161,Eu,-61791.524,8148.98,160933664.1
97,64,161,Gd,-65505.824,8167.191,160929676.6
96,65,161,Tb,-67461.589,8174.479,160927577
95,66,161,Dy,-68055.801,8173.31,160926939.1
94,67,161,Ho,-67197.27,8163.119,160927860.8
93,68,161,Er,-65201.608,8145.864,160930003.2
92,69,161,Tm,-61898.708,8120.49,160933549
91,70,161,Yb,-57839.4,8090.417,160937906.8
90,71,161,Lu,-52562.344,8052.781,160943572
89,72,161,Hf,-46314.672,8009.117,160950279.2
88,73,161,Ta,-38778.997,7957.452,160958369
86,75,161,Re,-20840.203,7836.312,160977627.1
99,63,162,Eu,-58703.401,8129.438,161936979.3
98,64,162,Gd,-64280.401,8159.035,161930992.1
97,65,162,Tb,-65675.958,8162.82,161929494
96,66,162,Dy,-68181.478,8173.457,161926804.2
95,67,162,Ho,-66041.541,8155.418,161929101.5
94,68,162,Er,-66334.519,8152.397,161928787
93,69,162,Tm,-61477.791,8117.588,161934000.9
92,70,162,Yb,-59826.347,8102.565,161935773.8
91,71,162,Lu,-52831.753,8054.559,161943282.8
90,72,162,Hf,-49169.008,8027.12,161947214.9
89,73,162,Ta,-39780.194,7964.335,161957294.2
88,74,162,W,-33999.207,7923.821,161963500.3
100,63,163,Eu,-56484.886,8115.471,162939361
99,64,163,Gd,-61313.886,8140.297,162934176.8
98,65,163,Tb,-64596.071,8155.633,162930653.3
97,66,163,Dy,-66381.17,8161.785,162928736.9
96,67,163,Ho,-66378.335,8156.968,162928739.9
95,68,163,Er,-65167.723,8144.741,162930039.6
94,69,163,Tm,-62728.723,8124.979,162932657.9
93,70,163,Yb,-59299.094,8099.138,162936339.8
92,71,163,Lu,-54791.409,8066.684,162941179
91,72,163,Hf,-49263.682,8027.972,162947113.3
90,73,163,Ta,-42534.629,7981.89,162954337.2
89,74,163,W,-34908.193,7930.302,162962524.5
88,75,163,Re,-26002.244,7870.865,162972085.4
99,65,164,Tb,-62077.965,8139.765,163933356.6
98,66,164,Dy,-65967.965,8158.714,163929180.5
97,67,164,Ho,-64981.503,8147.929,163930239.5
96,68,164,Er,-65942.89,8149.02,163929207.4
95,69,164,Tm,-61904.035,8119.623,163933543.3
94,70,164,Yb,-61017.418,8109.446,163934495.1
93,71,164,Lu,-54642.37,8065.804,163941339
92,72,164,Hf,-51818.505,8043.814,163944370.5
91,73,164,Ta,-43282.8,7986.997,163953534
90,74,164,W,-38235.759,7951.452,163958952.2
89,75,164,Re,-27472.436,7881.052,163970507.1
88,76,164,Os,-20422.106,7833.291,163978076
99,66,165,Dy,-63612.606,8143.909,164931709.1
98,67,165,Ho,-64899.006,8146.964,164930328
97,68,165,Er,-64521.61,8139.936,164930733.2
96,69,165,Tm,-62929.621,8125.546,164932442.3
95,70,165,Yb,-60295.382,8104.839,164935270.2
94,71,165,Lu,-56442.242,8076.745,164939406.8
93,72,165,Hf,-51635.507,8042.872,164944567
92,73,165,Ta,-45847.853,8003.054,164950780.3
91,74,165,W,-38861.022,7955.968,164958281
90,75,165,Re,-30659.776,7901.522,164967085.4
101,65,166,Tb,-57884.789,8113.68,165937858.1
100,66,166,Dy,-62584.789,8137.28,165932812.5
99,67,166,Ho,-63071.329,8135.499,165932290.1
98,68,166,Er,-64926.042,8141.959,165930299
97,69,166,Tm,-61888.375,8118.946,165933560.1
96,70,166,Yb,-61595.74,8112.471,165933874.2
95,71,166,Lu,-56020.981,8074.175,165939859
94,72,166,Hf,-53858.983,8056.438,165942180
93,73,166,Ta,-46097.775,8004.971,165950512
92,74,166,W,-41888.031,7974.898,165955031.3
91,75,166,Re,-31893.478,7909.977,165965760.9
90,76,166,Os,-25431.517,7866.336,165972698.1
101,66,167,Dy,-59930.626,8120.992,166935661.8
100,67,167,Ho,-62280.626,8130.379,166933139
99,68,167,Er,-63291.18,8131.746,166932054.1
98,69,167,Tm,-62543.641,8122.585,166932856.6
97,70,167,Yb,-60590.576,8106.205,166934953.3
96,71,167,Lu,-57501.125,8083.021,166938270
95,72,167,Hf,-53467.756,8054.184,166942600
94,73,167,Ta,-48351.059,8018.861,166948093
93,74,167,W,-42098.058,7976.733,166954805.9
91,76,167,Os,-26501.993,7873.974,166971548.9
90,77,167,Ir,-17072.44,7812.825,166981672
102,66,168,Dy,-58559.566,8112.536,167937133.7
101,67,168,Ho,-60061.171,8116.817,167935521.7
100,68,168,Er,-62991.171,8129.601,167932376.2
99,69,168,Tm,-61312.921,8114.954,167934177.9
98,70,168,Yb,-61581.901,8111.898,167933889.1
97,71,168,Lu,-57067.85,8080.372,167938735.1
96,72,168,Hf,-55360.552,8065.553,167940568
95,73,168,Ta,-48393.908,8019.428,167948047
94,74,168,W,-44893.109,7993.933,167951805.3
93,75,168,Re,-35794.885,7935.12,167961572.6
92,76,168,Os,-29995.213,7895.941,167967798.8
91,77,168,Ir,-18666.226,7823.85,167979961
90,78,168,Pt,-11007.46,7773.605,167988183
103,66,169,Dy,-55597.177,8094.763,168940314
102,67,169,Ho,-58797.177,8109.068,168936878.6
101,68,169,Er,-60923.104,8117.019,168934596.4
100,69,169,Tm,-61275.212,8114.473,168934218.4
99,70,169,Yb,-60377.563,8104.532,168935182
98,71,169,Lu,-58084.563,8086.335,168937643.7
97,72,169,Hf,-54716.889,8061.778,168941259
96,73,169,Ta,-50290.43,8030.957,168946011
95,74,169,W,-44917.873,7994.537,168951778.7
94,75,169,Re,-38409.232,7951.395,168958766
93,76,169,Os,-30722.691,7901.284,168967017.8
92,77,169,Ir,-22093.839,7845.596,168976281.3
103,67,170,Ho,-56238.681,8093.796,169939625.3
102,68,170,Er,-60108.681,8111.959,169935470.7
101,69,170,Tm,-59795.853,8105.517,169935806.5
100,70,170,Yb,-60763.919,8106.609,169934767.2
99,71,170,Lu,-57306.224,8081.668,169938479.2
98,72,170,Hf,-56253.854,8070.875,169939609
97,73,170,Ta,-50137.665,8030.296,169946175
96,74,170,W,-47290.832,8008.948,169949231.2
95,75,170,Re,-38913.193,7955.065,169958225
94,76,170,Os,-33926.247,7921.128,169963578.7
92,78,170,Pt,-16299.193,7808.236,169982502.1
104,67,171,Ho,-54518.956,8083.608,170941471.5
103,68,171,Er,-57718.956,8097.746,170938036.1
102,69,171,Tm,-59210.298,8101.893,170936435.1
101,70,171,Yb,-59306.81,8097.882,170936331.5
100,71,171,Lu,-57828.395,8084.661,170937918.7
99,72,171,Hf,-55431.345,8066.068,170940492
98,73,171,Ta,-51720.273,8039.791,170944476
97,74,171,W,-47086.09,8008.115,170949451
96,75,171,Re,-41250.28,7969.412,170955716
95,76,171,Os,-34301.942,7924.204,170963175.3
94,77,171,Ir,-26412.025,7873.489,170971645.5
93,78,171,Pt,-17469.702,7816.619,170981245.5
92,79,171,Au,-7562.295,7754.106,170991881.5
104,68,172,Er,-56483.612,8090.41,171939362.3
103,69,172,Tm,-57374.379,8091.041,171938406.1
102,70,172,Yb,-59255.446,8097.429,171936386.7
101,71,172,Lu,-56735.98,8078.232,171939091.4
100,72,172,Hf,-56402.226,8071.743,171939449.7
99,73,172,Ta,-51329.977,8037.705,171944895
98,74,172,W,-49097.186,8020.175,171947292
97,75,172,Re,-41537.106,7971.672,171955408.1
96,76,172,Os,-37243.842,7942.163,171960017.1
95,77,172,Ir,-27379.369,7880.263,171970607
94,78,172,Pt,-21106.92,7839.247,171977340.8
93,79,172,Au,-9318.006,7766.158,171989996.7
92,80,172,Hg,-1058.744,7713.591,171998863.4
104,69,173,Tm,-56256.059,8084.463,172939606.6
103,70,173,Yb,-57551.225,8087.427,172938216.2
102,71,173,Lu,-56880.916,8079.03,172938935.8
101,72,173,Hf,-55411.784,8066.016,172940513
100,73,173,Ta,-52396.538,8044.064,172943750
99,74,173,W,-48727.383,8018.333,172947689
98,75,173,Re,-43553.865,7983.906,172953243
97,76,173,Os,-37438.257,7944.033,172959808.4
96,77,173,Ir,-30268.435,7898.067,172967505.5
95,78,173,Pt,-21942.911,7845.42,172976443.3
94,79,173,Au,-12832.44,7788.237,172986223.8
105,69,174,Tm,-53864.512,8070.642,173942174.1
104,70,174,Yb,-56944.512,8083.847,173938867.5
103,71,174,Lu,-55570.195,8071.453,173940342.9
102,72,174,Hf,-55844.481,8068.533,173940048.5
101,73,174,Ta,-51740.766,8040.452,173944454
100,74,174,W,-50227.088,8027.256,173946079
99,75,174,Re,-43673.096,7985.094,173953115
98,76,174,Os,-39995.416,7959.461,173957063.2
97,77,174,Ir,-30863.492,7902.483,173966866.7
96,78,174,Pt,-25318.163,7866.117,173972819.8
94,80,174,Hg,-6641.009,7749.784,173992870.6
106,69,175,Tm,-52310.549,8061.766,174943842.3
105,70,175,Yb,-54695.549,8070.925,174941281.9
104,71,175,Lu,-55165.582,8069.14,174940777.3
103,72,175,Hf,-54481.662,8060.761,174941511.5
102,73,175,Ta,-52408.647,8044.445,174943737
101,74,175,W,-49632.795,8024.112,174946717
100,75,175,Re,-45288.307,7994.816,174951381
99,76,175,Os,-40105.376,7960.729,174956945.1
98,77,175,Ir,-33394.506,7917.91,174964149.5
97,78,175,Pt,-25713.466,7869.548,174972395.5
96,79,175,Au,-17403.955,7817.595,174981316.1
95,80,175,Hg,-7972.576,7759.231,174991441.1
107,69,176,Tm,-49371.314,8045.121,175946997.7
106,70,176,Yb,-53491.314,8064.085,175942574.7
105,71,176,Lu,-53382.236,8059.02,175942691.8
104,72,176,Hf,-54576.321,8061.359,175941409.9
103,73,176,Ta,-51365.374,8038.67,175944857
102,74,176,W,-50641.603,8030.112,175945634
101,75,176,Re,-45062.885,7993.97,175951623
100,76,176,Os,-42097.94,7972.679,175954806
99,77,176,Ir,-33878.326,7921.531,175963630.1
98,78,176,Pt,-28933.867,7888.992,175968938.2
97,79,176,Au,-18520.963,7825.383,175980116.9
96,80,176,Hg,-11784.95,7782.665,175987348.3
95,81,176,Tl,581.594,7707.955,176000624.4
107,70,177,Yb,-50986.397,8049.973,176945263.8
106,71,177,Lu,-52383.806,8053.448,176943763.7
105,72,177,Hf,-52880.616,8051.835,176943230.3
104,73,177,Ta,-51714.616,8040.827,176944482.1
103,74,177,W,-49701.726,8025.035,176946643
102,75,177,Re,-46269.17,8001.222,176950328
101,76,177,Os,-41956.462,7972.436,176954957.9
100,77,177,Ir,-36047.421,7934.632,176961301.5
99,78,177,Pt,-29370.444,7892.489,176968469.5
98,79,177,Au,-21545.103,7843.858,176976870.4
97,80,177,Hg,-12782.542,7789.932,176986277.4
96,81,177,Tl,-3340.526,7732.167,176996413.8
108,70,178,Yb,-49695.475,8042.841,177946649.7
107,71,178,Lu,-50337.784,8042.054,177945960.2
106,72,178,Hf,-52435.236,8049.442,177943708.5
104,74,178,W,-50406.936,8029.257,177945885.9
103,75,178,Re,-45653.453,7998.157,177950989
102,76,178,Os,-43544.27,7981.912,177953253.3
101,77,178,Ir,-36251.884,7936.549,177961082
100,78,178,Pt,-31997.519,7908.252,177965649.2
99,79,178,Au,-22303.743,7849.398,177976055.9
98,80,178,Hg,-16315.901,7811.363,177982484.2
96,82,178,Pb,3574.294,7690.83,178003837.2
108,71,179,Lu,-49058.918,8035.073,178947333.1
107,72,179,Hf,-50462.907,8038.546,178945825.8
106,73,179,Ta,-50357.323,8033.585,178945939.2
105,74,179,W,-49295.127,8023.281,178947079.5
104,75,179,Re,-46584.28,8003.766,178949989.7
103,76,179,Os,-43019.495,7979.48,178953816.7
102,77,179,Ir,-38081.714,7947.524,178959117.6
101,78,179,Pt,-32268.145,7910.675,178965358.7
100,79,179,Au,-24988.567,7865.637,178973173.7
99,80,179,Hg,-16928.134,7816.236,178981826.9
98,81,179,Tl,-8268.495,7763.487,178991123.4
97,82,179,Pb,2050.639,7701.468,179002201.5
109,71,180,Lu,-46676.348,8022.038,179949890.9
108,72,180,Hf,-49779.348,8034.93,179946559.7
107,73,180,Ta,-48932.877,8025.881,179947468.4
106,74,180,W,-49636.115,8025.442,179946713.4
105,75,180,Re,-45837.359,7999.991,179950791.6
104,76,180,Os,-44357.81,7987.425,179952379.9
103,77,180,Ir,-37977.526,7947.633,179959229.4
102,78,180,Pt,-34435.877,7923.611,179963031.6
101,79,180,Au,-25625.509,7870.318,179972489.9
100,80,180,Hg,-20250.447,7836.11,179978260.2
99,81,180,Tl,-9386.647,7771.409,179989923
98,82,180,Pb,-1941.38,7725.7,179997915.8
110,71,181,Lu,-44797.41,8011.929,180951908
109,72,181,Hf,-47402.831,8022.002,180949111
108,73,181,Ta,-48438.311,8023.4,180947999.3
107,74,181,W,-48233.818,8017.948,180948218.9
106,75,181,Re,-46517.391,8004.143,180950061.5
105,76,181,Os,-43549.963,7983.426,180953247.2
104,77,181,Ir,-39463.028,7956.523,180957634.7
103,78,181,Pt,-34381.511,7924.126,180963089.9
102,79,181,Au,-27871.136,7883.835,180970079.1
101,80,181,Hg,-20661.136,7839.679,180977819.4
100,81,181,Tl,-12798.735,7791.918,180986260
99,82,181,Pb,-3117.35,7734.107,180996653.4
110,72,182,Hf,-46049.508,8014.837,181950563.8
109,73,182,Ta,-46429.934,8012.628,181950155.4
108,74,182,W,-48246.06,8018.308,181948205.7
107,75,182,Re,-45446.06,7998.625,181951211.6
106,76,182,Os,-44609.104,7989.728,181952110.2
105,77,182,Ir,-39051.679,7954.894,181958076.3
104,78,182,Pt,-36168.449,7934.754,181961171.6
103,79,182,Au,-28300.768,7887.226,181969617.9
102,80,182,Hg,-23576.922,7856.972,181974689.1
101,81,182,Tl,-13327.927,7796.36,181985691.9
100,82,182,Pb,-6825.112,7756.332,181992672.9
112,71,183,Lu,-39716.11,7984.812,182957363
111,72,183,Hf,-43282.796,8000.027,182953534
110,73,183,Ta,-45292.796,8006.735,182951376.2
109,74,183,W,-46365.58,8008.322,182950224.5
108,75,183,Re,-45809.58,8001.009,182950821.4
107,76,183,Os,-43664.043,7985.01,182953124.7
106,77,183,Ir,-40203.311,7961.823,182956840
105,78,183,Pt,-35772.487,7933.336,182961596.7
104,79,183,Au,-30191.483,7898.564,182967588.1
103,80,183,Hg,-23804.674,7859.388,182974444.6
102,81,183,Tl,-16587.257,7815.673,182982192.8
101,82,183,Pb,-7575.218,7762.152,182991867.7
112,72,184,Hf,-41499.373,7990.722,183955448.6
111,73,184,Ta,-42839.373,7993.752,183954010
110,74,184,W,-45705.373,8005.077,183950933.3
109,75,184,Re,-44219.634,7992.75,183952528.3
108,76,184,Os,-44252.533,7988.677,183952492.9
107,77,184,Ir,-39610.851,7959.198,183957476
106,78,184,Pt,-37334.243,7942.574,183959920
105,79,184,Au,-30318.71,7900.194,183967451.5
104,80,184,Hg,-26348.965,7874.367,183971713.2
103,81,184,Tl,-16883.242,7818.671,183981875.1
102,82,184,Pb,-11051.522,7782.725,183988135.7
101,83,184,Bi,1063.068,7712.633,184001141.3
113,72,185,Hf,-38319.8,7973.97,184958862
112,73,185,Ta,-41394.293,7986.36,184955561.4
111,74,185,W,-43387.793,7992.907,184953421.3
110,75,185,Re,-43819.027,7991.009,184952958.3
109,76,185,Os,-42805.88,7981.304,184954046
108,77,185,Ir,-40335.553,7963.722,184956698
107,78,185,Pt,-36688.14,7939.777,184960613.7
106,79,185,Au,-31858.143,7909.44,184965798.9
105,80,185,Hg,-26183.666,7874.538,184971890.7
104,81,185,Tl,-19757.741,7835.575,184978789.2
103,82,185,Pb,-11541.22,7786.932,184987610
114,72,186,Hf,-36424.21,7964.302,185960897
113,73,186,Ta,-38607.528,7971.835,185958553.1
112,74,186,W,-42508.528,7988.601,185954365.2
111,75,186,Re,-41927.086,7981.269,185954989.4
110,76,186,Os,-42999.943,7982.831,185953837.7
109,77,186,Ir,-39172.346,7958.047,185957946.8
108,78,186,Pt,-37864.443,7946.809,185959350.8
107,79,186,Au,-31714.852,7909.54,185965952.7
106,80,186,Hg,-28539.097,7888.26,185969362
105,81,186,Tl,-19886.613,7837.535,185978650.8
104,82,186,Pb,-14682.026,7805.347,185984238.2
103,83,186,Bi,-3146.212,7739.121,185996622.4
102,84,186,Po,4100.974,7695.951,186004402.6
114,73,187,Ta,-36895.546,7963.212,186960391
113,74,187,W,-39903.97,7975.116,186957161.3
112,75,187,Re,-41216.478,7977.951,186955752.3
111,76,187,Os,-41218.945,7973.78,186955749.6
110,77,187,Ir,-39549.372,7960.668,186957542
109,78,187,Pt,-36685.05,7941.168,186960617
108,79,187,Au,-33027.838,7917.427,186964543.2
107,80,187,Hg,-28117.93,7886.987,186969814.2
106,81,187,Tl,-22444.587,7852.464,186975904.7
105,82,187,Pb,-14986.959,7808.4,186983910.8
104,83,187,Bi,-6383.271,7758.208,186993147.3
103,84,187,Po,2828.597,7704.763,187003036.6
115,73,188,Ta,-33612.03,7946.321,187963916
114,74,188,W,-38667.811,7969.052,187958488.4
113,75,188,Re,-39016.811,7966.747,187958113.7
112,76,188,Os,-41137.233,7973.864,187955837.4
111,77,188,Ir,-38344.907,7954.85,187958835
110,78,188,Pt,-37820.929,7947.902,187959397.6
109,79,188,Au,-32371.308,7914.753,187965248
108,80,188,Hg,-30201.914,7899.052,187967576.9
107,81,188,Tl,-22336.4,7853.053,187976020.9
106,82,188,Pb,-17815.202,7824.843,187980874.6
105,83,188,Bi,-7194.687,7764.189,187992276.2
104,84,188,Po,-544.313,7724.653,187999415.7
115,74,189,W,-35617.536,7953.454,188961763
114,75,189,Re,-37979.043,7961.809,188959227.8
113,76,189,Os,-38986.745,7963.002,188958146
112,77,189,Ir,-38449.586,7956.02,188958722.7
111,78,189,Pt,-36469.348,7941.403,188960848.5
110,79,189,Au,-33581.955,7921.987,188963948.3
109,80,189,Hg,-29626.401,7896.919,188968194.7
108,81,189,Tl,-24616.1,7866.27,188973573.5
107,82,189,Pb,-17844.035,7826.299,188980843.6
106,83,189,Bi,-10064.66,7780.999,188989195.1
105,84,189,Po,-1422.005,7731.131,188998473.4
116,74,190,W,-34382.313,7947.573,189963089.1
115,75,190,Re,-35635.83,7950.053,189961743.4
114,76,190,Os,-38707.771,7962.104,189958445.5
113,77,190,Ir,-36753.544,7947.701,189960543.4
112,78,190,Pt,-37306.45,7946.493,189959949.9
111,79,190,Au,-32833.533,7918.834,189964751.8
110,80,190,Hg,-31370.697,7907.017,189966322.2
109,81,190,Tl,-24372.027,7866.064,189973835.6
108,82,190,Pb,-20416.645,7841.129,189978081.8
107,83,190,Bi,-10599.579,7785.342,189988620.9
106,84,190,Po,-4563.837,7749.458,189995100.5
117,74,191,W,-31176.173,7931.435,190966531
116,75,191,Re,-34350.296,7943.957,190963123.4
115,76,191,Os,-36395.185,7950.568,190960928.2
114,77,191,Ir,-36708.756,7948.113,190960591.5
113,78,191,Pt,-35698.237,7938.727,190961676.4
112,79,191,Au,-33797.904,7924.681,190963716.5
111,80,191,Hg,-30591.896,7903.8,190967158.2
110,81,191,Tl,-26282.945,7877.144,190971784.1
109,82,191,Pb,-20231.118,7841.363,190978281
108,83,191,Bi,-13239.347,7800.661,190985787
107,84,191,Po,-5068.735,7753.786,190994558.5
106,85,191,At,3863.917,7702.923,191004148.1
117,75,192,Re,-31588.825,7930.238,191966088
116,76,192,Os,-35882.191,7948.525,191961478.9
115,77,192,Ir,-34835.561,7938.999,191962602.5
114,78,192,Pt,-36288.457,7942.491,191961042.7
113,79,192,Au,-32772.116,7920.102,191964817.7
112,80,192,Hg,-32011.553,7912.066,191965634.2
111,81,192,Tl,-25872.246,7876.016,191972225
110,82,192,Pb,-22556.02,7854.669,191975785.1
109,83,192,Bi,-13534.535,7803.608,191985470.1
108,84,192,Po,-8070.661,7771.075,191991335.8
107,85,192,At,2925.854,7709.727,192003141
118,75,193,Re,-30231.638,7923.937,192967545
117,76,193,Os,-33394.289,7936.27,192964149.8
116,77,193,Ir,-34536.235,7938.133,192962923.8
115,78,193,Pt,-34479.608,7933.786,192962984.6
114,79,193,Au,-33404.821,7924.164,192964138.4
113,80,193,Hg,-31062.179,7907.972,192966653.4
112,81,193,Tl,-27477.212,7885.344,192970502
111,82,193,Pb,-22194.49,7853.919,192976173.2
110,83,193,Bi,-15884.559,7817.171,192982947.2
109,84,193,Po,-8325.318,7773.95,192991062.4
108,85,193,At,-67.32,7727.109,192999927.7
107,86,193,Rn,9042.911,7675.852,193009708
118,76,194,Os,-32435.108,7932.022,193965179.5
117,77,194,Ir,-32531.708,7928.487,193965075.8
116,78,194,Pt,-34760.07,7935.941,193962683.5
115,79,194,Au,-32211.936,7918.774,193965419.1
114,80,194,Hg,-32183.945,7914.597,193965449.1
113,81,194,Tl,-26937.491,7883.52,193971081.4
112,82,194,Pb,-24207.94,7865.418,193974011.7
111,83,194,Bi,-16028.811,7819.225,193982792.4
110,84,194,Po,-11004.655,7789.294,193988186
109,85,194,At,-720.163,7732.249,193999226.9
108,86,194,Rn,5723.495,7695.001,194006144.4
119,76,195,Os,-29511.593,7917.744,194968318
118,77,195,Ir,-31692.251,7924.915,194965977
117,78,195,Pt,-32793.849,7926.552,194964794.4
116,79,195,Au,-32567.031,7921.377,194965037.9
115,80,195,Hg,-31013.393,7909.397,194966705.8
114,81,195,Tl,-28155.248,7890.728,194969774.1
113,82,195,Pb,-23707.693,7863.908,194974548.7
112,83,195,Bi,-18025.561,7830.757,194980648.8
111,84,195,Po,-11056.259,7791.005,194988130.6
110,85,195,At,-3470.295,7748.091,194996274.5
109,86,195,Rn,5050.281,7700.383,195005421.7
120,76,196,Os,-28277.105,7912.229,195969643.3
119,77,196,Ir,-29435.493,7914.148,195968399.7
118,78,196,Pt,-32644.51,7926.529,195964954.7
117,79,196,Au,-31138.706,7914.855,195966571.2
116,80,196,Hg,-31825.941,7914.369,195965833.4
115,81,196,Tl,-27496.592,7888.289,195970481.2
114,82,196,Pb,-25348.312,7873.337,195972787.5
113,83,196,Bi,-18009.031,7831.9,195980666.5
112,84,196,Po,-13473.042,7804.766,195985536.1
111,85,196,At,-3914.677,7752.007,195995797.4
110,86,196,Rn,1970.991,7717.987,196002115.9
120,77,197,Ir,-28264.105,7908.999,196969657.2
119,78,197,Pt,-30419.75,7915.971,196967343.1
118,79,197,Au,-31139.738,7915.654,196966570.1
117,80,197,Hg,-30540.229,7908.64,196967213.7
116,81,197,Tl,-28341.649,7893.508,196969574
115,82,197,Pb,-24745.401,7871.282,196973434.7
114,83,197,Bi,-19687.191,7841.634,196978864.9
113,84,197,Po,-13357.99,7805.535,196985659.6
112,85,197,At,-6355.25,7766.017,196993177.4
111,86,197,Rn,1510.353,7722.118,197001621.4
110,87,197,Fr,10253.971,7673.763,197011008.1
120,78,198,Pt,-29903.999,7914.15,197967896.7
119,79,198,Au,-29580.781,7908.567,197968243.7
118,80,198,Hg,-30954.31,7911.552,197966769.2
117,81,198,Tl,-27528.746,7890.3,197970446.7
116,82,198,Pb,-26067.489,7878.969,197972015.4
115,83,198,Bi,-19369.486,7841.189,197979206
114,84,198,Po,-15473.352,7817.561,197983388.7
113,85,198,At,-6714.513,7769.373,197992791.7
112,86,198,Rn,-1230.358,7737.724,197998679.2
111,87,198,Fr,9574.024,7679.205,198010278.1
122,77,199,Ir,-24398.515,7891.206,198973807.1
121,78,199,Pt,-27388.682,7902.3,198970597
120,79,199,Au,-29093.741,7906.937,198968766.6
119,80,199,Hg,-29546.068,7905.279,198968281
118,81,199,Tl,-28059.394,7893.877,198969877
117,82,199,Pb,-25231.804,7875.736,198972912.5
116,83,199,Bi,-20797.566,7849.522,198977672.9
115,84,199,Po,-15208.483,7817.505,198983673
114,85,199,At,-8823.372,7781.488,198990527.7
113,86,199,Rn,-1499.451,7740.753,198998390.3
112,87,199,Fr,6771.393,7695.259,199007269.4
122,78,200,Pt,-26599.16,7899.198,199971444.6
121,79,200,Au,-27240.092,7898.491,199970756.6
120,80,200,Hg,-29503.27,7905.895,199968326.9
119,81,200,Tl,-27047.23,7889.703,199970963.6
118,82,200,Pb,-26251.054,7881.81,199971818.3
117,83,200,Bi,-20370.755,7848.497,199978131.1
116,84,200,Po,-16941.761,7827.44,199981812.3
