This data is a reformatted version of this data
https://www-nds.iaea.org/amdc/ame2016/mass16.txt
obtained from https://www-nds.iaea.org/amdc/
excluding theoretical values.
KEY:
N - Number of neutrons
Z - Number of protons
A - Atomic mass number
EL - Element label
DEL_M (keV) - Mass excess in keV
BE/A (keV) - Binding energy per nucleon in keV
Mass (mu-u) - Atomic mass in millionths of a standard atomic mass unit (Dalton)
------------------------------------------------
N,Z,A,EL,DEL_M (keV),BE/A (keV),Mass (mu-u)
23,17,40,Cl,-27557.813,8427.765,39970415.47
22,18,40,Ar,-35039.89464,8595.259,39962383.12
21,19,40,K,-33535.492,8538.09,39963998.17
20,20,40,Ca,-34846.384,8551.303,39962590.87
19,21,40,Sc,-20523.335,8173.669,39977967.29
18,22,40,Ti,-8850.384,7862.286,39990498.72
27,14,41,Si,12119.668,7508.573,41013011
26,15,41,P,-4979.767,7906.551,40994654
25,16,41,S,-19008.577,8229.635,40979593.45
24,17,41,Cl,-27307.189,8412.959,40970684.53
23,18,41,Ar,-33067.505,8534.372,40964500.57
22,19,41,K,-35559.54331,8576.072,40961825.26
21,20,41,Ca,-35137.89,8546.706,40962277.92
20,21,41,Sc,-28642.412,8369.198,40969251.1
19,22,41,Ti,-15697.537,8034.388,40983148
27,15,42,P,1009.74,7767.866,42001084
26,16,42,S,-17637.746,8193.227,41981065.1
25,17,42,Cl,-24831.767,8345.886,41973342
24,18,42,Ar,-34422.675,8555.613,41963045.74
23,19,42,K,-35022.026,8551.256,41962402.31
22,20,42,Ca,-38547.245,8616.563,41958617.83
21,21,42,Sc,-32121.153,8444.933,41965516.52
20,22,42,Ti,-25104.674,8259.247,41973049.02
28,15,43,P,4679.826,7689.572,43005024
27,16,43,S,-12195.459,8063.827,42986907.64
26,17,43,Cl,-24159.508,8323.866,42974063.7
25,18,43,Ar,-32009.808,8488.237,42965636.06
24,19,43,K,-36575.389,8576.22,42960734.7
23,20,43,Ca,-38408.822,8600.663,42958766.43
22,21,43,Sc,-36188.102,8530.825,42961150.47
21,22,43,Ti,-29321.082,8352.932,42968522.52
20,23,43,V,-17916.356,8069.512,42980766
28,16,44,S,-9204.233,7996.015,43990118.85
27,17,44,Cl,-20384.523,8232.332,43978116.31
26,18,44,Ar,-32673.255,8493.84,43964923.82
25,19,44,K,-35781.492,8546.701,43961586.99
24,20,44,Ca,-41468.675,8658.175,43955481.54
23,21,44,Sc,-37815.985,8557.379,43959402.87
22,22,44,Ti,-37548.569,8533.52,43959689.95
21,23,44,V,-24116.38,8210.463,43974110
29,16,45,S,-3989.589,7881.807,44995717
28,17,45,Cl,-18262.543,8181.598,44980394.35
27,18,45,Ar,-29770.796,8419.952,44968039.73
26,19,45,K,-36615.638,8554.674,44960691.49
25,20,45,Ca,-40812.174,8630.545,44956186.33
24,21,45,Sc,-41071.896,8618.931,44955907.5
23,22,45,Ti,-39009.84,8555.722,44958121.21
22,23,45,V,-31886.016,8380.029,44965768.95
21,24,45,Cr,-19514.799,8087.728,44979050
29,17,46,Cl,-13859.398,8083.48,45985121.32
28,18,46,Ar,-29772.926,8412.419,45968037.45
27,19,46,K,-35413.924,8518.042,45961981.59
26,20,46,Ca,-43139.361,8668.979,45953687.99
25,21,46,Sc,-41761.219,8622.012,45955167.49
24,22,46,Ti,-44127.799,8656.451,45952626.86
23,23,46,V,-37075.351,8486.13,45960197.97
22,24,46,Cr,-29471.567,8303.823,45968360.97
